Type,Var,Survey Question
important,var1,"Pick your favorite fruit: apples, bananas, strawberries "
important,var2,"What freedom is most important: freedom of religion, freedom of speech, freedom of the press "
important,var3,Which of the following sports requires the most practice: soccer or baseball?
important,var4,"Pick the best social media from the following: Instagram, Twitter, Facebook, MySpace"
important,var5,"Who is the best basketball player: Wilt Chamberlain, Michael Jordan, Lebron James?"
filtering,var6,What is your opinion of the movie Inception? A. Favorable B. Unfavorable
filtering,var7,What is your opinion of the new AHCA? A. Support B. Do not support
filtering,var8,How do you feel about our current laws on the drinking age? A. In favor B. Not in favor
filtering,var9,Should weed be legalized in PA? A. Yes B. No
filtering,var10,How do you feel about our current president? A. In favor B. Not in favor
deliberate,var11,It is hard for young kids born into city slums to have a bright future when they are constantly oppressed: agree or disagree?
deliberate,var12,"Our generation, who never faced the Great Depression, will have an easier time buying a house: agree or disagee?"
deliberate,var13,Education will face challenges in the upcoming years as Betsy Devos takes office: agree or disagree?
deliberate,var14,It is difficult for college graduates to obtain a job with the state of our current country: Yes or No?
deliberate,var15,Mining jobs have decreased since environmental laws came into importance: agree or disagree?
anchoring,var16,"Knowing that Michael Phelps has won 28 medals, who is the best athlete of all time?"
anchoring,var17,"Keeping in mind that Qatar is the richest country in the world, where would you want to vacation?"
anchoring,var18,"With McDonalds serving over more than 700 million customers each day, what is the most popular fast food joint?"
anchoring,var19,"Knowing that 16 Shark attacks occur in the U.S. each year, what is the most dangerous sea creature?"
anchoring,var20,"Knowing that New Jersey has almost 9 million people, what is the size of Pennsylvania?"
unintentional,var21,Would you support a law that bans the adoption of foxes?
unintentional,var22,Do you believe that all women should always be given free tampons in public restrooms?
unintentional,var23,Do you believe that we should ban smoking cigarettes?
unintentional,var24,Should younger kids be forbidden from watching rated R movies even at their parents discretion?
unintentional,var25,Should minors with underage offenses be banned from getting their license until they are 21?
unncessary,var26,Do you think that our country should increase funding for our military or for our education?
unncessary,var27,Do we not have the right to freedom of speech?
unncessary,var28,Does it seem possible or does it seem impossible to you that the Nazi extermination of the Jews never happened?
unncessary,var29,Please indicate if you agree or disagree: I feel welcome by the staff and by the youth at the center.
unncessary,var30,Please indicate if you agree or disagree: Children with obesity and children with diabetes should be separated at school lunches.
nonbias,var31,What is your opinion on the Black Lives Matter movement? A. In favor B. Not in Favor C. Undecided/No Opinion
nonbias,var32,"In your opinion, who is the best men's soccer player?"
nonbias,var33,Which should we increase funding on: A. Healthcare B. Education C. Neither D. Both
nonbias,var34,Do you agree or disagree on a law that does not allow smoking in public parks?
nonbias,var35,"Who is a better author, J.K. Rowling or Stephen King? A. Rowling B. King C. Undecided"
